date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:08:31	234950/234950	---MCZ	200	added ('OK')	text/html	etag:W/%22b43595ed8988f271cdad83e4c12b6e99%22	https://bulabosjr.wixsite.com/ws-3	C:/Users/bulab/Desktop/Website/ArtAppReal/bulabosjr.wixsite.com/ws-3.html	(from )
15:08:32	201/201	---M--	200	added ('OK')	text/plain	date:Thu,%2012%20May%202022%2007:08:31%20GMT	https://bulabosjr.wixsite.com/robots.txt		(from )
15:08:32	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/Users/bulab/Desktop/Website/ArtAppReal/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://bulabosjr.wixsite.com/ws-3)
15:08:32	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/Users/bulab/Desktop/Website/ArtAppReal/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://bulabosjr.wixsite.com/ws-3)
15:08:32	65588/65588	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2011%20May%202022%2002:59:47%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	C:/Users/bulab/Desktop/Website/ArtAppReal/polyfill.io/v3/polyfill.mind82c.js	(from https://bulabosjr.wixsite.com/ws-3)
15:08:32	65254/65254	---M-Z	200	added ('OK')	application/javascript	etag:%225b6773578af8dd5591339930c2b29024%22	https://browser.sentry-cdn.com/6.18.2/bundle.min.js	C:/Users/bulab/Desktop/Website/ArtAppReal/browser.sentry-cdn.com/6.18.2/bundle.min.js	(from https://bulabosjr.wixsite.com/ws-3)
15:08:33	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2012%20May%202022%2007:08:33%20GMT	https://bulabosjr.wixsite.com/decodeURIComponent(e	C:/Users/bulab/Desktop/Website/ArtAppReal/bulabosjr.wixsite.com/decodeURIComponent(e	(from https://bulabosjr.wixsite.com/ws-3)
15:08:33	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2012%20May%202022%2007:08:33%20GMT	https://bulabosjr.wixsite.com/sitemap.xml	C:/Users/bulab/Desktop/Website/ArtAppReal/bulabosjr.wixsite.com/sitemap.xml	(from https://bulabosjr.wixsite.com/ws-3)
15:08:33	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2012%20May%202022%2007:08:33%20GMT	https://bulabosjr.wixsite.com/feed.xml	C:/Users/bulab/Desktop/Website/ArtAppReal/bulabosjr.wixsite.com/feed.xml	(from https://bulabosjr.wixsite.com/ws-3)
15:08:33	166576/166576	---M-Z	200	added ('OK')	application/javascript	etag:W/%22bdb7d368202925adfc3a8e93ee17b522%22	https://static.parastorage.com/services/wix-thunderbolt/dist/bootstrap-features.36d5e27f.bundle.min.js	C:/Users/bulab/Desktop/Website/ArtAppReal/static.parastorage.com/services/wix-thunderbolt/dist/bootstrap-features.36d5e27f.bundle.min.js	(from https://bulabosjr.wixsite.com/ws-3)
15:08:34	179174/179174	---M-Z	200	added ('OK')	application/javascript	etag:W/%226feef3f810d96ace66449b29c18dce51%22	https://static.parastorage.com/services/wix-thunderbolt/dist/main.1487cf42.bundle.min.js	C:/Users/bulab/Desktop/Website/ArtAppReal/static.parastorage.com/services/wix-thunderbolt/dist/main.1487cf42.bundle.min.js	(from https://bulabosjr.wixsite.com/ws-3)
15:08:34	73015/73015	---M-Z	200	added ('OK')	application/javascript	etag:W/%229becc40fb1d85d21d0ca38e2f7069511%22	https://static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	C:/Users/bulab/Desktop/Website/ArtAppReal/static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	(from https://bulabosjr.wixsite.com/ws-3)
15:08:34	12463/12463	---M-Z	200	added ('OK')	application/javascript	etag:W/%22edf56a42bca6b565bf7dfcbd8ffc221a%22	https://static.parastorage.com/unpkg/react@16.13.1/umd/react.production.min.js	C:/Users/bulab/Desktop/Website/ArtAppReal/static.parastorage.com/unpkg/react@16.13.1/umd/react.production.min.js	(from https://bulabosjr.wixsite.com/ws-3)
15:08:34	11216/11216	---M-Z	200	added ('OK')	application/javascript	etag:W/%2274b64900831a2e814a8ff0cdedcf80cb%22	https://static.parastorage.com/services/tag-manager-client/1.427.0/siteTags.bundle.min.js	C:/Users/bulab/Desktop/Website/ArtAppReal/static.parastorage.com/services/tag-manager-client/1.427.0/siteTags.bundle.min.js	(from https://bulabosjr.wixsite.com/ws-3)
15:08:34	38502/38502	---M-Z	200	added ('OK')	application/javascript	etag:W/%22e0bc75cd29020598154edc6c218d43ea%22	https://static.parastorage.com/services/wix-perf-measure/1.756.0/wix-perf-measure.bundle.min.js	C:/Users/bulab/Desktop/Website/ArtAppReal/static.parastorage.com/services/wix-perf-measure/1.756.0/wix-perf-measure.bundle.min.js	(from https://bulabosjr.wixsite.com/ws-3)
15:08:35	118656/118656	---M-Z	200	added ('OK')	application/javascript	etag:W/%22dcf51763fb4a654e15a4e6e7754ca5d2%22	https://static.parastorage.com/unpkg/react-dom@16.13.1/umd/react-dom.production.min.js	C:/Users/bulab/Desktop/Website/ArtAppReal/static.parastorage.com/unpkg/react-dom@16.13.1/umd/react-dom.production.min.js	(from https://bulabosjr.wixsite.com/ws-3)
15:08:35	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2012%20May%202022%2007:08:35%20GMT	https://bulabosjr.wixsite.com/	C:/Users/bulab/Desktop/Website/ArtAppReal/bulabosjr.wixsite.com/index.html	(from https://bulabosjr.wixsite.com/ws-3)
15:08:35	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2012%20May%202022%2007:08:35%20GMT	https://bulabosjr.wixsite.com/5b26625f.min.css	C:/Users/bulab/Desktop/Website/ArtAppReal/bulabosjr.wixsite.com/5b26625f.min.f.delayed	(from https://bulabosjr.wixsite.com/ws-3)
15:08:35	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2012%20May%202022%2007:08:35%20GMT	https://bulabosjr.wixsite.com/cbe8dd54.chunk.min.js	C:/Users/bulab/Desktop/Website/ArtAppReal/bulabosjr.wixsite.com/cbe8dd54.chunk.min.js	(from https://bulabosjr.wixsite.com/ws-3)
15:08:35	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2012%20May%202022%2007:08:36%20GMT	https://bulabosjr.wixsite.com/ac4697aa.chunk.min.js	C:/Users/bulab/Desktop/Website/ArtAppReal/bulabosjr.wixsite.com/ac4697aa.chunk.min.js	(from https://bulabosjr.wixsite.com/ws-3)
